REG_ANS,Razão Social,Qt_Beneficiários,Modalidade,Ano,IDSS,IDAS,IDEF,IDEO,IDGA,IDGR,IDQS,IDSB,IDSM,Uniodonto,Qt_Beneficiários_antigo
000043,SUL AMÉRICA SEGURO SAÚDE S/A,265781,Seguradora Especializada em Saúde,2011,,,,,,,,,,NÃO,741806
000043,SUL AMÉRICA SEGURO SAÚDE S/A,274448,Seguradora Especializada em Saúde,2012,0.7563,0.8193,0.7906,0.7195,,,,0.6327,,NÃO,1143679
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2013,,,,,,,,,,NÃO,266118
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2014,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2015,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2016,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2017,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2018,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2019,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2020,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2021,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2022,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2023,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2024,,,,,,,,,,NÃO,0
000043,SUL AMÉRICA SEGURO SAÚDE S/A,0,Seguradora Especializada em Saúde,2025,,,,,,,,,,NÃO,0
000582,PORTO SEGURO - SEGURO SAÚDE S/A,150890,Seguradora Especializada em Saúde,2011,,,,,,,,,,NÃO,387921
000582,PORTO SEGURO - SEGURO SAÚDE S/A,185201,Seguradora Especializada em Saúde,2012,0.6897,0.5616,0.8366,0.5380,,,,0.9508,,NÃO,690823
000582,PORTO SEGURO - SEGURO SAÚDE S/A,260813,Seguradora Especializada em Saúde,2013,0.7614,0.8083,0.8001,0.5932,,,,0.7972,,NÃO,901469
000582,PORTO SEGURO - SEGURO SAÚDE S/A,349052,Seguradora Especializada em Saúde,2014,0.7857,0.8891,0.7647,0.6245,,,,0.7610,,NÃO,1234913
000582,PORTO SEGURO - SEGURO SAÚDE S/A,459886,Seguradora Especializada em Saúde,2015,0.7980,0.7973,1.0000,0.5960,,,,0.7995,,NÃO,1690693
000582,PORTO SEGURO - SEGURO SAÚDE S/A,531370,Seguradora Especializada em Saúde,2016,0.8960,,,,0.8258,0.9577,0.8708,,0.9299,NÃO,2037196
000582,PORTO SEGURO - SEGURO SAÚDE S/A,505492,Seguradora Especializada em Saúde,2017,0.8665,,,,0.6781,0.8944,0.9697,,0.9240,NÃO,2019635
000582,PORTO SEGURO - SEGURO SAÚDE S/A,519679,Seguradora Especializada em Saúde,2018,0.7674,,,,0.3915,0.7827,0.9843,,0.9214,NÃO,2058768
000582,PORTO SEGURO - SEGURO SAÚDE S/A,571633,Seguradora Especializada em Saúde,2019,0.7423,,,,0.4742,0.8681,0.7764,,0.9342,NÃO,2134585
